carpark_number,latitude,longitude,area
CK38,1.3930853528194695,103.74479108110896,Choa Chu Kang
CK39,1.3961472532491102,103.74427780249404,Choa Chu Kang
CK4,1.3801437034327266,103.75166243741124,Choa Chu Kang
CK4A,1.3811651758839634,103.75220046039196,Choa Chu Kang
CK40,1.3953807621354313,103.74614735348534,Choa Chu Kang
CK41,1.390957419969763,103.74645700945564,Choa Chu Kang
CK42,1.3927690420626142,103.7467303588615,Choa Chu Kang
CK44,1.392588835064809,103.749136737306,Choa Chu Kang
CK45,1.3945179409748218,103.7499668359902,Choa Chu Kang
CK46,1.395266310343544,103.74953210680287,Choa Chu Kang
CK47,1.3952394503711916,103.74769942278238,Choa Chu Kang
CK48,1.3974022344611878,103.74516772920865,Sungei Kadut
CK49,1.3987826049446035,103.74352305674635,Sungei Kadut
CK5,1.3801796230669872,103.75272002464231,Choa Chu Kang
